Periode;Harga Cabai (kg)
01/ 01/ 2018;-
08/ 01/ 2018;48650
15/ 01/ 2018;47150
22/ 01/ 2018;48750
29/ 01/ 2018;51500
05/ 02/ 2018;41400
12/ 02/ 2018;47650
19/ 02/ 2018;47400
26/ 02/ 2018;45250
05/ 03/ 2018;49900
12/ 03/ 2018;52150
19/ 03/ 2018;49150
26/ 03/ 2018;46500
02/ 04/ 2018;43650
09/ 04/ 2018;41650
16/ 04/ 2018;38900
23/ 04/ 2018;34400
30/ 04/ 2018;36650
07/ 05/ 2018;33750
14/ 05/ 2018;34750
21/ 05/ 2018;32150
28/ 05/ 2018;26900
04/ 06/ 2018;24250
11/ 06/ 2018;31650
18/ 06/ 2018;32000
25/ 06/ 2018;27500
02/ 07/ 2018;28250
09/ 07/ 2018;31650
16/ 07/ 2018;31150
23/ 07/ 2018;29650
30/ 07/ 2018;27750
06/ 08/ 2018;31900
13/ 08/ 2018;31500
20/ 08/ 2018;28000
27/ 08/ 2018;27650
03/ 09/ 2018;25150
10/ 09/ 2018;27500
17/ 09/ 2018;29250
24/ 09/ 2018;30900
01/ 10/ 2018;34500
08/ 10/ 2018;37750
15/ 10/ 2018;44250
22/ 10/ 2018;47750
29/ 10/ 2018;43000
05/ 11/ 2018;42000
12/ 11/ 2018;36750
19/ 11/ 2018;34650
26/ 11/ 2018;32250
03/ 12/ 2018;31750
10/ 12/ 2018;32900
17/ 12/ 2018;33650
24/ 12/ 2018;35000
31/ 12/ 2018;32400
07/ 01/ 2019;32000
14/ 01/ 2019;27000
21/ 01/ 2019;24250
28/ 01/ 2019;21500
04/ 02/ 2019;23000
11/ 02/ 2019;23150
18/ 02/ 2019;23400
25/ 02/ 2019;23000
04/ 03/ 2019;21650
11/ 03/ 2019;22150
18/ 03/ 2019;21900
25/ 03/ 2019;25150
01/ 04/ 2019;25750
08/ 04/ 2019;24900
15/ 04/ 2019;24900
22/ 04/ 2019;27000
29/ 04/ 2019;26750
06/ 05/ 2019;30400
13/ 05/ 2019;32500
20/ 05/ 2019;28250
27/ 05/ 2019;33500
03/ 06/ 2019;58250
10/ 06/ 2019;55000
17/ 06/ 2019;55900
24/ 06/ 2019;58750
01/ 07/ 2019;65150
08/ 07/ 2019;71500
15/ 07/ 2019;70000
22/ 07/ 2019;68150
29/ 07/ 2019;64000
05/ 08/ 2019;66500
12/ 08/ 2019;80250
19/ 08/ 2019;75750
26/ 08/ 2019;67650
02/ 09/ 2019;64250
09/ 09/ 2019;55400
16/ 09/ 2019;46400
23/ 09/ 2019;44250
30/ 09/ 2019;43650
07/ 10/ 2019;51000
14/ 10/ 2019;45500
21/ 10/ 2019;43750
28/ 10/ 2019;38650
04/ 11/ 2019;39650
11/ 11/ 2019;43250
18/ 11/ 2019;42150
25/ 11/ 2019;36500
02/ 12/ 2019;34000
09/ 12/ 2019;36250
16/ 12/ 2019;40000
23/ 12/ 2019;40150
30/ 12/ 2019;41650
06/ 01/ 2020;43650
13/ 01/ 2020;46650
20/ 01/ 2020;42150
27/ 01/ 2020;42650
03/ 02/ 2020;42250
10/ 02/ 2020;43400
17/ 02/ 2020;42400
24/ 02/ 2020;48650
02/ 03/ 2020;45250
09/ 03/ 2020;41250
16/ 03/ 2020;32250
23/ 03/ 2020;29900
30/ 03/ 2020;29900
06/ 04/ 2020;25900
13/ 04/ 2020;25150
20/ 04/ 2020;27500
27/ 04/ 2020;23750
04/ 05/ 2020;23250
11/ 05/ 2020;19900
18/ 05/ 2020;21000
25/ 05/ 2020;28000
01/ 06/ 2020;-
08/ 06/ 2020;21650
15/ 06/ 2020;21150
22/ 06/ 2020;21150
29/ 06/ 2020;22900
06/ 07/ 2020;21000
13/ 07/ 2020;26500
20/ 07/ 2020;27750
27/ 07/ 2020;27500
03/ 08/ 2020;30400
10/ 08/ 2020;25750
17/ 08/ 2020;-
24/ 08/ 2020;24000
31/ 08/ 2020;21650
07/ 09/ 2020;23900
14/ 09/ 2020;27150
21/ 09/ 2020;27400
28/ 09/ 2020;34650
05/ 10/ 2020;42400
12/ 10/ 2020;49500
19/ 10/ 2020;40500
26/ 10/ 2020;37750
02/ 11/ 2020;44650
09/ 11/ 2020;43750
16/ 11/ 2020;44750
23/ 11/ 2020;44400
30/ 11/ 2020;53750
07/ 12/ 2020;51400
14/ 12/ 2020;57000
21/ 12/ 2020;66000
28/ 12/ 2020;65400
04/ 01/ 2021;61750
11/ 01/ 2021;54650
18/ 01/ 2021;57250
25/ 01/ 2021;45500
01/ 02/ 2021;47000
08/ 02/ 2021;51750
15/ 02/ 2021;46400
22/ 02/ 2021;43250
01/ 03/ 2021;45650
08/ 03/ 2021;47650
15/ 03/ 2021;48650
22/ 03/ 2021;50150
29/ 03/ 2021;50750
05/ 04/ 2021;49250
12/ 04/ 2021;44650
19/ 04/ 2021;43150
26/ 04/ 2021;31250
03/ 05/ 2021;31250
10/ 05/ 2021;37150
17/ 05/ 2021;36900
24/ 05/ 2021;28400
31/ 05/ 2021;26650
07/ 06/ 2021;25400
14/ 06/ 2021;22650
21/ 06/ 2021;23500
28/ 06/ 2021;24650
05/ 07/ 2021;30400
12/ 07/ 2021;28900
19/ 07/ 2021;36000
26/ 07/ 2021;29400
02/ 08/ 2021;24650
09/ 08/ 2021;25000
16/ 08/ 2021;23150
23/ 08/ 2021;22650
30/ 08/ 2021;22400
06/ 09/ 2021;25900
13/ 09/ 2021;25750
20/ 09/ 2021;27900
27/ 09/ 2021;33500
04/ 10/ 2021;44150
