Year;Solid Fuel;Liquid Fuel
2014;31081;44274
2013;38543;43698
2012;39717;44872
2011;31296;45006
2010;31709;47810
2009;30511;47417
2008;37061;49926
2007;40073;50319
2006;42493;51917
2005;39098;52850
2004;38360;51185
2003;39512;51556
2002;36741;51135
2001;39925;51920
2000;37464;52884
1999;35514;53631
1998;39770;52760
1997;40673;52677
1996;45003;54929
1995;47940;55268
1994;50668;57442
1993;53802;56146
1992;61331;57197
1991;64544;56582
1990;64392;55729
1989;67107;60660
1988;68168;56262
1987;70765;52795
1986;67815;54873
1985;63947;56080
1984;48457;65113
1983;67474;51056
1982;66797;53507
1981;71344;53229
1980;71154;58482
1979;76845;69071
1978;70725;67523
1977;73985;65527
1976;75043;64315
1975;75379;65843
1974;71879;74042
1973;80745;79630
1972;80007;78934
1971;93180;73530
1970;96316;72343
1969;100422;64953
1968;101064;60249
1967;100568;57866
1966;110083;55870
1965;115248;51775
1964;116332;47120
1963;119897;42776
1962;119353;40461
1961;120873;37736
1960;122285;35178
1959;116145;31233
1958;125235;24850
1957;131708;22298
1956;135066;19822
1955;136440;19203
1954;132083;17104
1953;130568;15280
1952;128200;14478
1951;132649;14633
1950;123873;11361
1949;126377;4758
1948;124932;3694
1947;123342;1597
1946;116572;1557
1945;112699;725
1944;119418;595
1943;122664;512
1942;126463;516
1941;126389;811
1940;128520;1160
1939;122094;1393
1938;120032;1429
1937;125633;1148
1936;121776;1172
1935;115252;1046
1934;113704;1087
1933;105526;900
1932;106651;818
1931;110959;737
1930;118682;1010
1929;124103;984
1928;117685;1165
1927;125650;1734
1926;65921;1320
1925;121516;1206
1924;128858;1050
1923;123418;733
1922;116428;445
1921;87028;255
1920;128480;201
1919;122156;2334
1918;123083;4332
1917;134077;2704
1916;136916;1477
1915;131667;1925
1914;129758;2115
1913;134408;1597
1912;123068;1355
1911;130177;1196
1910;127072;1130
1909;126036;1171
1908;124958;1124
1907;128254;995
1906;122752;979
1905;118471;981
1904;116914;988
1903;116419;935
