Per Capita;Liquid Fuel;Gas Fuel
1.78;44274;37340
1.95;43698;41024
2.01;44872;41549
1.93;45006;44043
2.14;47810;53120
2.06;47417;48872
2.31;49926;52763
2.35;50319;51193
2.43;51917;50630
2.45;52850;53384
2.45;51185;54808
2.46;51556;53640
2.42;51135;53623
2.51;51920;54119
2.5;52884;54588
2.46;53631;52588
2.47;52760;49578
2.46;52677;47605
2.58;54929;47444
2.52;55268;40672
2.57;57442;37611
2.57;56146;36087
2.63;57197;31675
2.68;56582;31778
2.64;55729;29482
2.77;60660;28578
2.72;56262;28893
2.74;52795;29342
2.73;54873;29549
2.69;56080;29460
2.55;65113;27186
2.63;51056;26520
2.65;53507;25468
2.71;53229;24456
2.8;58482;24133
3.11;69071;24343
2.92;67523;22250
2.92;65527;21564
2.89;64315;20207
2.92;65843;19482
2.99;74042;18603
3.2;79630;15555
3.15;78934;14372
3.22;73530;10160
3.19;72343;6306
3.08;64953;3344
2.99;60249;1710
2.93;57866;758
3.08;55870;450
3.11;51775;460
3.06;47120;140
3.06;42776;79
3.03;40461;59
3.03;37736;41
3.02;35178;41
2.85;31233;37
2.91;24850;32
3;22298;17
3.04;19822;10
3.07;19203;7
2.95;17104;9
2.89;15280;6
2.84;14478;5
2.93;14633;4
