date;x
01/01/13;97907
01/02/13;136954
01/03/13;141112
01/04/13;128263
01/05/13;135960
01/06/13;119400
01/07/13;95011
01/08/13;91423
01/09/13;113009
01/10/13;100552
01/11/13;89003
01/12/13;94061
01/01/14;78078
01/02/14;89697
01/03/14;115971
01/04/14;108673
01/05/14;90306
01/06/14;96246
01/07/14;116638
01/08/14;109811
01/09/14;127460
01/10/14;114011
01/11/14;111326
01/12/14;168797
01/01/15;147941
01/02/15;117029
01/03/15;137569
01/04/15;142273
01/05/15;114090
01/06/15;115989
01/07/15;90296
01/08/15;109775
01/09/15;112610
01/10/15;138593
01/11/15;93912
01/12/15;126237
01/01/16;79156
01/02/16;94791
01/03/16;131300
01/04/16;114330
01/05/16;94130
01/06/16;143031
01/07/16;107755
01/08/16;176515
01/09/16;160521
01/10/16;269396
01/11/16;283703
01/12/16;270791
01/01/17;303220
01/02/17;415074
01/03/17;275347
01/04/17;203298
01/05/17;240022
01/06/17;141638
01/07/17;162203
01/08/17;186676
01/09/17;170331
01/10/17;198852
01/11/17;245943
01/12/17;302241
01/01/18;257196
01/02/18;282210
01/03/18;238661
01/04/18;188754
01/05/18;184974
01/06/18;133077
01/07/18;203306
01/08/18;190500
01/09/18;178049
01/10/18;226767
01/11/18;206276
01/12/18;246509
01/01/19;293512
01/02/19;272166
01/03/19;300768
01/04/19;290020
01/05/19;284584
01/06/19;225371
01/07/19;400624
01/08/19;338713
01/09/19;307071
01/10/19;383301
01/11/19;228062
01/12/19;238175
01/01/20;164351
01/02/20;122322
01/03/20;143293
01/04/20;158484
01/05/20;137187
01/06/20;198152
01/07/20;206979
01/08/20;217089
01/09/20;242612
01/10/20;222994
01/11/20;415152
01/12/20;523856
01/01/21;472372
01/02/21;351919
01/03/21;386117
01/04/21;317816
01/05/21;283957
01/06/21;438843
01/07/21;372062
01/08/21;466052
01/09/21;488726
01/10/21;473377
01/11/21;520665
01/12/21;524544
01/01/22;415148
01/02/22;442341
01/03/22;534785
01/04/22;482975
01/05/22;330610
01/06/22;539737
01/07/22;454071
01/08/22;574001
01/09/22;649089
01/10/22;483440
01/11/22;443586
01/12/22;536080
;
;
;
;
;
;
;
;
;
;
;
;
