Periode;Harga
1;38400
2;39150
3;39150
4;39000
5;39000
6;39000
7;34400
8;34400
9;34000
10;33000
11;30650
12;28150
13;27900
14;27900
15;27900
16;27400
17;27400
18;27400
19;29500
20;29000
21;28500
22;
23;27400
24;28250
25;27750
26;33000
27;34000
28;34000
29;36000
30;37400
31;40150
32;41250
33;40500
34;41000
35;41000
36;45500
37;45150
38;45150
39;44400
40;45900
41;
42;47500
43;49000
44;
45;56150
46;56900
47;55400
48;54250
49;54250
50;53250
51;52150
52;50250
53;49900
54;49900
55;50000
56;51650
57;50900
58;48900
59;48000
60;44900
61;38400
62;36150
63;36150
64;36250
65;36900
66;41650
67;41250
68;40250
69;37500
70;36400
71;34500
72;32900
73;31400
74;28750
75;
76;32650
77;32000
78;32000
79;31000
80;30750
81;32750
82;34500
83;39000
84;41650
85;44000
86;
87;
88;
89;
90;
91;31150
92;28400
93;29900
94;29900
95;33400
96;
97;34150
98;39750
99;41250
100;41500
101;42650
102;44650
103;44150
104;
105;47900
106;62400
107;63750
108;
109;61400
110;60500
111;64500
112;73250
113;76650
114;78250
115;82250
116;98500
117;100250
118;97400
119;93150
120;90750
121;97500
122;99150
123;101000
124;99750
125;101400
126;112650
127;111750
128;100400
129;99400
130;98150
131;118150
132;112750
133;108250
134;105150
135;106500
136;117500
137;115650
138;109400
139;101900
140;103400
141;97250
142;88500
143;91250
144;91750
145;92000
146;90900
147;88500
148;86750
149;92500
150;95400
151;91650
152;88500
153;85400
154;85400
155;83400
156;81000
157;82400
158;78000
159;76900
160;73150
161;63400
162;61900
163;
164;66500
165;70500
166;68250
167;68250
168;67650
169;66000
170;65750
171;78150
172;81900
173;85750
174;86400
175;90000
176;97500
177;96250
178;95150
179;89150
180;83150
181;67500
182;64400
183;65400
184;65500
185;65250
186;69250
187;65150
188;62150
189;62150
190;58750
191;53650
192;50750
193;48000
194;48650
195;48650
196;50250
197;51500
198;51000
199;55750
200;62150
201;66250
202;61900
203;61150
204;60650
205;59900
206;47000
207;51000
208;46400
209;45900
210;45400
211;42900
212;38900
213;38900
214;39150
215;39150
216;41150
217;42500
218;43900
219;41650
220;39250
221;38400
222;36000
223;33750
224;32150
225;32500
226;34150
227;36900
228;38650
229;39650
230;40400
231;40900
232;39900
233;38400
234;38400
235;39400
236;37250
237;37150
238;36900
239;36650
240;37150
241;38500
242;40650
243;40750
244;40650
245;41500
246;43500
247;44250
248;45900
249;43650
250;43400
251;45400
252;45900
253;45650
254;46650
255;44250
256;39150
257;39400
258;39250
259;38750
260;38500
